participant.label,alpha_med,alpha_positive,beta_med,beta_positive,gender,age,affiliation,group_type,Base,015,03,045,round,contribute,mpcr,payoff,total_contribution,id_subsession,max_contribute,max_payoff,max_c_and_p
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,1,0,0.6,11.8,3,3,0,1,0
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,2,0,0.6,11.8,3,5,0,1,0
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,3,0,0.6,11.2,2,2,0,1,0
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,4,0,0.6,10.6,1,4,0,1,0
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,5,0,0.6,10.6,1,1,0,1,0
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,6,0,0.6,11.2,2,2,0,1,0
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,7,0,0.6,10,0,2,1,1,1
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,8,0,0.6,11.2,2,7,0,1,0
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,9,0,0.6,10,0,2,1,1,1
baseSUB01,-0.0215,0,0.0555,1,2,23,10,base,1,0,0,0,10,0,0.6,11.8,3,6,0,1,0
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,1,4,0.6,10.2,7,1,1,0,0
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,2,3,0.6,14.8,13,2,0,0,0
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,3,3,0.6,13,10,8,0,0,0
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,4,3,0.6,11.8,8,6,1,0,0
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,5,2,0.6,12.8,8,6,0,0,0
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,6,1,0.6,9.6,1,5,1,0,0
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,7,0,0.6,10,0,4,1,1,1
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,8,0,0.6,10,0,4,1,1,1
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,9,0,0.6,10,0,8,1,1,1
baseSUB02,-0.0215,0,0.0555,1,1,22,12,base,1,0,0,0,10,0,0.6,11.2,2,5,0,1,0
baseSUB03,-0.0215,0,0.2365,1,0,23,10,base,1,0,0,0,1,0,0.6,13,5,4,0,1,0
baseSUB03,-0.0215,0,0.2365,1,0,23,10,base,1,0,0,0,2,0,0.6,12.4,4,8,0,1,0
baseSUB03,-0.0215,0,0.2365,1,0,23,10,base,1,0,0,0,3,1,0.6,12.6,6,4,0,1,0
